Vr-1_r.occ,4244068
Vr-1_r_0.occ,1501248
Vr-1_r_0_0.occ,64628
Vr-1_r_0_1.occ,1448028
Vr-1_r_0_2.occ,2287968
Vr-1_r_0_3.occ,1882948
Vr-1_r_0_3_0.occ,1136368
Vr-1_r_0_3_1.occ,1955168
Vr-1_r_0_3_2.occ,1762328
Vr-1_r_0_3_3.occ,1665008
Vr-1_r_0_3_3_0.occ,721968
Vr-1_r_0_3_3_1.occ,1809828
Vr-1_r_0_3_3_2.occ,1177908
Vr-1_r_0_3_3_3.occ,1457368
Vr-1_r_0_3_3_3_4.occ,255088
Vr-1_r_0_3_3_3_5.occ,543028
Vr-1_r_0_3_3_3_6.occ,344828
Vr-1_r_0_3_3_3_7.occ,873428
Vr-1_r_0_3_3_5.occ,149208
Vr-1_r_0_3_4.occ,1029488
Vr-1_r_0_3_5.occ,1115328
Vr-1_r_0_3_6.occ,1434488
Vr-1_r_0_3_7.occ,48468
Vr-1_r_0_4.occ,800008
Vr-1_r_0_5.occ,1652368
Vr-1_r_0_6.occ,630468
Vr-1_r_0_6_0.occ,105628
Vr-1_r_0_6_1.occ,388368
Vr-1_r_0_6_2.occ,460408
Vr-1_r_0_6_3.occ,198088
Vr-1_r_0_6_4.occ,61928
Vr-1_r_0_6_5.occ,343768
Vr-1_r_0_6_6.occ,451788
Vr-1_r_0_6_7.occ,113088
Vr-1_r_0_7.occ,2245708
Vr-1_r_1.occ,2688928
Vr-1_r_1_0.occ,1503288
Vr-1_r_1_0_0.occ,675048
Vr-1_r_1_0_1.occ,542608
Vr-1_r_1_0_2.occ,942028
Vr-1_r_1_0_3.occ,1063128
Vr-1_r_1_0_4.occ,691048
Vr-1_r_1_0_5.occ,654028
Vr-1_r_1_0_6.occ,49008
Vr-1_r_1_0_7.occ,83968
Vr-1_r_1_1.occ,1313368
Vr-1_r_1_1_0.occ,150528
Vr-1_r_1_1_1.occ,295048
Vr-1_r_1_1_2.occ,620248
Vr-1_r_1_1_3.occ,466288
Vr-1_r_1_1_4.occ,323048
Vr-1_r_1_1_5.occ,541468
Vr-1_r_1_1_6.occ,182108
Vr-1_r_1_1_7.occ,618548
Vr-1_r_1_2.occ,2057208
Vr-1_r_1_2_0.occ,1218648
Vr-1_r_1_2_0_0.occ,139568
Vr-1_r_1_2_0_1.occ,530788
Vr-1_r_1_2_0_2.occ,315888
Vr-1_r_1_2_0_3.occ,1850888
Vr-1_r_1_2_0_4.occ,40188
