SYCTOM_r_0_3.occ,28
SYCTOM_r_0_5_2.occ,408
SYCTOM_r_0_5_3_1.occ,17568
SYCTOM_r_0_5_3_2.occ,7248
SYCTOM_r_0_5_3_3.occ,299588
SYCTOM_r_0_5_3_5.occ,148888
SYCTOM_r_0_5_3_6.occ,252368
SYCTOM_r_0_5_3_7_0.occ,215608
SYCTOM_r_0_5_3_7_1.occ,141208
SYCTOM_r_0_5_3_7_2.occ,895988
SYCTOM_r_0_5_3_7_3.occ,273268
SYCTOM_r_0_5_3_7_4.occ,111108
SYCTOM_r_0_5_3_7_5.occ,19468
SYCTOM_r_0_5_3_7_6.occ,348088
SYCTOM_r_0_5_3_7_7.occ,163748
SYCTOM_r_0_5_3_7.occ,511948
SYCTOM_r_0_5_3.occ,1018468
SYCTOM_r_0_5_6.occ,61668
SYCTOM_r_0_5_7.occ,826148
SYCTOM_r_0_5.occ,161648
SYCTOM_r_0_7_0.occ,232308
SYCTOM_r_0_7_1_0.occ,187148
SYCTOM_r_0_7_1_1_4.occ,2148
SYCTOM_r_0_7_1_1_5.occ,704348
SYCTOM_r_0_7_1_1_6.occ,173148
SYCTOM_r_0_7_1_1_7.occ,1406928
SYCTOM_r_0_7_1_1.occ,518548
SYCTOM_r_0_7_1_2.occ,71528
SYCTOM_r_0_7_1_3_4.occ,379068
SYCTOM_r_0_7_1_3_5.occ,2326608
SYCTOM_r_0_7_1_3_6.occ,180268
SYCTOM_r_0_7_1_3_7_1_5.occ,624608
SYCTOM_r_0_7_1_3_7_1_6.occ,6688
SYCTOM_r_0_7_1_3_7_1_7.occ,1826828
SYCTOM_r_0_7_1_3_7_1.occ,550608
SYCTOM_r_0_7_1_3_7_2.occ,1188
SYCTOM_r_0_7_1_3_7_3_4.occ,3308
SYCTOM_r_0_7_1_3_7_3_5_0.occ,115588
SYCTOM_r_0_7_1_3_7_3_5_1.occ,491488
SYCTOM_r_0_7_1_3_7_3_5_2.occ,163908
SYCTOM_r_0_7_1_3_7_3_5_3.occ,532228
SYCTOM_r_0_7_1_3_7_3_5_4.occ,190268
SYCTOM_r_0_7_1_3_7_3_5_6.occ,178308
SYCTOM_r_0_7_1_3_7_3_5.occ,1172608
SYCTOM_r_0_7_1_3_7_3_6.occ,306608
SYCTOM_r_0_7_1_3_7_3_7.occ,2527288
SYCTOM_r_0_7_1_3_7_3.occ,1096388
SYCTOM_r_0_7_1_3_7_4.occ,1188
SYCTOM_r_0_7_1_3_7_5_1.occ,475488
SYCTOM_r_0_7_1_3_7_5_2.occ,10148
SYCTOM_r_0_7_1_3_7_5_3.occ,1585448
SYCTOM_r_0_7_1_3_7_5_5.occ,323628
SYCTOM_r_0_7_1_3_7_5_6.occ,90708
SYCTOM_r_0_7_1_3_7_5_7.occ,1129208
SYCTOM_r_0_7_1_3_7_5.occ,666508
SYCTOM_r_0_7_1_3_7_6.occ,56088
SYCTOM_r_0_7_1_3_7_7_0.occ,4148
SYCTOM_r_0_7_1_3_7_7_1.occ,975128
SYCTOM_r_0_7_1_3_7_7_2.occ,344728
SYCTOM_r_0_7_1_3_7_7_3.occ,212208
SYCTOM_r_0_7_1_3_7_7_4.occ,185248
SYCTOM_r_0_7_1_3_7_7_5.occ,451048
SYCTOM_r_0_7_1_3_7_7_6.occ,463468
SYCTOM_r_0_7_1_3_7_7_7.occ,46348
SYCTOM_r_0_7_1_3_7_7.occ,1442688
SYCTOM_r_0_7_1_3_7.occ,1561328
SYCTOM_r_0_7_1_3.occ,935708
SYCTOM_r_0_7_1_4.occ,2467168
SYCTOM_r_0_7_1_5.occ,425608
SYCTOM_r_0_7_1_6.occ,750548
SYCTOM_r_0_7_1_7_0.occ,1025588
SYCTOM_r_0_7_1_7_2.occ,912608
SYCTOM_r_0_7_1_7_3_0.occ,21928
